date,daily_return,portfolio_value,position_scalar,sentiment_score
2023-07-24,-0.005627420000000001,102295002.67189413,1.0,0.97636014954206
2023-07-25,0.021040180000000002,104447307.94121127,1.0,0.97636014954206
2023-07-26,0.00781974,105264058.73301147,1.0,0.97636014954206
2023-07-27,-0.007557259999999999,104468550.87251084,1.2,-1.2857801837122116
2023-07-28,0.01214252,105737062.34085132,0.8,-1.2857801837122116
2023-07-31,0.0232105,108191272.42631365,1.0,1.336054269314895
2023-08-01,-0.0016609199999999993,108011575.37811534,1.0,0.1653865707101057
2023-08-02,-0.00017553999999999985,107992615.02617347,1.0,0.1653865707101057
2023-08-03,0.0005007000000000002,108046686.92851707,1.0,0.1653865707101057
2023-08-04,-0.0011273400000000001,107924881.57647507,1.0,0.1653865707101057
2023-08-07,-0.0009562400000000006,107821679.48771638,1.0,0.1653865707101057
2023-08-08,0.0023474599999999996,108074786.5674466,1.0,0.1653865707101057
2023-08-09,0.0010727000000000002,108190718.3909975,1.0,0.1653865707101057
2023-08-10,0.00805566,109062266.03351112,1.0,0.1653865707101057
2023-08-11,-0.007199,108277126.78033587,1.0,0.1653865707101057
2023-08-14,0.00207662,108501977.22735046,1.2,-1.2749867772149643
2023-08-15,-0.003472560000000001,108125197.60130985,0.8,-1.2749867772149643
2023-08-16,-0.0027983,107822630.8608621,1.2,-1.2515446205396863
2023-08-17,0.00305258,108151768.06737536,0.8,-1.2515446205396863
2023-08-18,-0.00403212,107715687.16031554,0.8,1.4869446474084778
2023-08-21,-0.00650868,107014600.22160894,0.8,1.4869446474084778
2023-08-22,-0.00533538,106443636.66387857,0.8,0.9931524509476046
2023-08-23,-0.02165002,104139129.80123286,1.0,0.9931524509476046
2023-08-24,-0.003974580000000001,103725220.49870747,0.8,1.4755635217684566
2023-08-25,-0.0099792,102690125.77830678,0.8,1.4755635217684566
2023-08-28,-0.0007026199999999999,102617973.64213243,0.8,1.4755635217684566
2023-08-29,0.020768339999999996,104749178.60884328,0.8,1.4755635217684566
2023-08-30,0.0083829,105627280.49820335,0.8,1.4755635217684566
2023-08-31,-0.00256212,105356650.73029329,0.8,0.9834074727781568
2023-09-01,0.00672184,106064841.2794382,1.0,0.9834074727781568
2023-09-04,0.01464098,107617734.49931362,1.0,0.9834074727781568
2023-09-05,-0.00345978,107245400.81384759,1.2,-1.1018510911671855
2023-09-06,0.0006333599999999999,107313325.76090704,0.8,-1.1018510911671855
2023-09-07,-0.01344996,105869965.82195587,0.8,-1.1018510911671855
2023-09-08,-9.620000000000035e-05,105859781.13124381,0.8,-1.1018510911671855
2023-09-11,0.005030100000000001,106392266.41631207,0.8,1.438752065303305
2023-09-12,0.0015070800000000005,106552608.07318278,0.8,-0.1683070462166457
2023-09-13,-0.006130699999999999,105899365.99886851,1.0,-0.1683070462166457
2023-09-14,-0.006419179999999999,105219578.9066359,0.8,1.5108387468702231
2023-09-15,0.006621299999999999,105916269.3044504,0.8,1.5108387468702231
2023-09-18,0.00865888,106833385.57040532,1.0,0.9001554412470212
2023-09-19,-0.0022614199999999997,106591790.4156087,1.0,0.9001554412470212
2023-09-20,-0.0026935600000000007,106304679.03261684,1.0,0.9001554412470212
2023-09-21,-0.0047293199999999995,105801930.1879743,1.0,0.9001554412470212
2023-09-22,0.00509328,106340809.04296212,1.0,0.9001554412470212
2023-09-25,-0.011167539999999998,105153243.80434248,1.0,0.9001554412470212
2023-09-26,-0.007872100000000002,104325466.9537903,1.0,0.9001554412470212
2023-09-27,0.00991238,105359580.62591372,1.0,0.9001554412470212
2023-09-28,0.004905,105876369.36888382,0.8,1.3617677853814123
2023-10-09,-0.004405460000000001,105409935.25868398,1.2,-1.1935127254228703
2023-10-10,0.00135676,105552951.24244554,0.8,-1.1935127254228703
2023-10-11,-0.002294,105310812.77229537,0.8,-1.1935127254228703
2023-10-12,0.01018428,106383327.576596,0.8,-1.1935127254228703
2023-10-13,-0.00223956,106145075.73148856,0.8,-1.1935127254228703
2023-10-16,-0.00704698,105397073.50571027,0.8,-1.1935127254228703
2023-10-17,-0.00172036,105215752.596334,0.8,-1.1935127254228703
2023-10-18,-0.020654560000000002,103042567.52138786,0.8,1.500192820306104
2023-10-19,-0.0050693199999999996,102520211.77300033,0.8,1.500192820306104
2023-10-20,-0.0009282599999999999,102425046.36121993,0.8,1.4446288576701796
2023-10-23,-0.0206971,100305144.93417712,0.8,1.4446288576701796
2023-10-24,0.0130883,101617968.7626191,0.8,1.4947646284583025
2023-10-25,0.004145019999999999,102039177.27549952,0.8,1.4947646284583025
2023-10-26,-0.00144566,101891663.31847942,0.8,1.4947646284583025
2023-10-27,0.013188380000000001,103235449.2931556,0.8,1.4947646284583025
2023-10-30,0.0034171999999999996,103588225.47048016,0.8,1.4138129963488892
2023-10-31,-0.0007388999999999994,103511684.13068002,0.8,1.4138129963488892
2023-11-01,0.0040561600000000005,103931544.08338352,1.2,-1.218127006534253
2023-11-02,-0.0009007599999999997,103837926.70573497,0.8,-1.218127006534253
2023-11-03,0.009627,104837574.42613108,0.8,-1.218127006534253
2023-11-06,0.0219021,107133737.46496964,0.8,-1.218127006534253
2023-11-07,0.0017474999999999997,107320953.67118967,0.8,-1.218127006534253
2023-11-08,0.0076918,108146444.98263772,0.8,-1.218127006534253
2023-11-09,-0.004846680000000001,107622293.77066927,0.8,1.4330090212299829
2023-11-10,-0.0038147199999999997,107211744.85417642,0.8,0.9491146640097692
2023-11-13,0.00711082,107974108.2737204,1.2,-1.2621534053731265
2023-11-14,0.00371228,108374938.39638276,0.8,-1.2621534053731265
2023-11-15,0.0037424,108780520.76583737,0.8,-1.2621534053731265
2023-11-16,-0.00417238,108326647.0966044,0.8,-1.2621534053731265
2023-11-17,0.0089122,109292075.84085876,0.8,-1.2621534053731265
2023-11-20,0.008820620000000001,110256099.71086216,1.0,0.9706683240774038
2023-11-21,-0.0018168000000000008,110055786.42890747,1.0,0.9706683240774038
2023-11-22,-0.005562640000000001,109443585.70908658,1.2,-1.3683949884010922
2023-11-23,0.0023908600000000003,109705250.00041501,0.8,1.510184170738578
2023-11-24,-0.01039012,108565399.28828071,0.8,1.510184170738578
2023-11-27,-0.00843952,107649159.42967927,0.8,1.510184170738578
2023-11-28,0.00204464,107869263.20701557,0.8,1.510184170738578
2023-11-29,-0.011335200000000002,106646543.5347114,1.2,-1.2500217594321907
2023-11-30,-0.00502262,106110898.4722231,0.8,-1.2500217594321907
2023-12-01,0.01695964,107910501.11038856,0.8,-1.2500217594321907
2023-12-04,0.0060539800000000005,108563789.12590082,0.8,1.4164393672084945
2023-12-05,-0.0217471,106202841.54740094,0.8,0.9804789906599902
2023-12-06,0.014928780000000001,107788320.40423694,1.0,0.9804789906599902
2023-12-07,0.0019983400000000004,108003718.11643356,1.0,0.9804789906599902
2023-12-08,-0.00121438,107872560.56122734,1.0,0.9804789906599902
2023-12-11,0.00975566,108924928.58539207,1.0,0.9804789906599902
2023-12-12,-0.0004473000000000002,108876206.46483582,1.0,0.9804789906599902
2023-12-13,-0.01512124,107229863.21659148,1.0,0.9804789906599902
2023-12-14,0.0009994600000000002,107337035.17568193,1.0,0.9804789906599902
2023-12-15,-0.0007018000000000003,107261706.04439564,1.0,0.9804789906599902
2023-12-18,-0.019461819999999998,105174198.0284667,1.2,-1.3062894116587525
2023-12-19,0.00267614,105455658.90677859,0.8,-1.3062894116587525
2023-12-20,-0.016704080000000003,103694119.14394705,0.8,-1.3062894116587525
2023-12-21,0.01666292,105421965.9557131,0.8,-1.3062894116587525
2023-12-22,-0.01791418,103533417.88162857,0.8,-1.3062894116587525
2023-12-25,-0.0138292,102101633.53905995,0.8,-1.3062894116587525
2023-12-26,-0.0106049,101018855.92554156,0.8,-1.3062894116587525
2023-12-27,-0.00526698,100486791.63175885,0.8,1.383074633640473
2023-12-28,0.030460200000000003,103547639.40222056,0.8,1.383074633640473
2023-12-29,0.011922320000000002,104782167.49441844,1.2,-1.2989373082546989
2024-01-02,-0.004782,104281099.16946013,0.8,1.5004035096613082
2024-01-03,-0.003505600000000001,103915531.34821168,1.0,0.1584050451215144
2024-01-04,-0.00915398,102964290.65256077,0.8,0.999804744381964
2024-01-05,-0.020747180000000004,100828071.98081978,1.0,0.999804744381964
2024-01-08,-0.025854100000000005,98221252.92502047,1.2,-1.1821538537085132
2024-01-09,0.0011197800000000003,98331239.11962084,0.8,-1.1821538537085132
2024-01-10,-0.009610800000000001,97386197.24668999,0.8,-1.1821538537085132
2024-01-11,0.02394674,99718279.19174519,0.8,-1.1821538537085132
2024-01-12,-0.007522920000000001,98968106.55484803,0.8,-1.1821538537085132
2024-01-15,-0.0061384000000000005,98360600.72957174,0.8,1.4509040412384753
2024-01-16,-0.0037393600000000006,97992795.03362761,0.8,1.4509040412384753
2024-01-17,-0.02243682,95794148.33016121,0.8,1.4509040412384753
2024-01-18,0.006288900000000002,96396588.14959475,0.8,1.4509040412384753
2024-01-19,-0.008613699999999998,95566256.85825059,0.8,1.4509040412384753
2024-01-22,-0.05024193999999999,90764822.71515377,0.8,1.4509040412384753
2024-01-23,0.020732780000000003,92646629.81624605,0.8,1.4509040412384753
2024-01-24,0.015375700000000003,94071136.60231172,0.8,1.4509040412384753
2024-01-25,0.04138532,97964300.6933621,0.8,1.4509040412384753
2024-01-26,-0.0006752399999999998,97898151.27896193,0.8,1.4509040412384753
2024-01-29,-0.02938582,95021333.82714558,0.8,-1.197403165391398
2024-01-30,-0.02750572,92407703.62486959,0.8,-1.197403165391398
2024-01-31,-0.040760540000000005,88641115.72495995,0.8,-1.197403165391398
2024-02-01,-0.005517640000000001,88152025.95919129,0.8,0.981469686020766
2024-02-02,-0.042313540000000004,84422001.68268602,1.0,0.981469686020766
2024-02-05,-0.06627812000000001,78826670.12452075,1.0,0.981469686020766
2024-02-06,0.04204638,82141046.250711,1.0,0.981469686020766
2024-02-07,0.019445820000000003,83738346.250714,1.0,0.981469686020766
2024-02-08,0.04517489999999999,87521217.66875538,1.2,-1.1560026788636788
2024-02-19,0.021052960000000003,89363798.36348699,1.0,-0.2103413621564894
2024-02-20,0.009261680000000001,90191457.26751414,1.0,-0.2103413621564894
2024-02-21,0.01985514,91982221.27836464,1.0,-0.2103413621564894
2024-02-22,0.02501452,94283112.39217673,1.0,-0.2103413621564894
2024-02-23,0.02345762,96494769.81508972,1.0,-0.2103413621564894
2024-02-26,0.01795502,98227335.33701505,1.0,-0.2103413621564894
2024-02-27,0.034088400000000005,101575748.03491734,1.0,-0.2103413621564894
2024-02-28,-0.053878680000000005,96102980.8107834,1.0,-0.2103413621564894
2024-02-29,0.04625542,100548264.55143814,1.0,-0.2103413621564894
2024-03-01,0.00388916,100939312.840001,1.0,-0.2103413621564894
2024-03-04,-0.012865539999999998,99640674.07308546,1.0,-0.2103413621564894
2024-03-05,-0.018596879999999996,97787668.41422917,1.0,-0.2103413621564894
2024-03-06,0.02104932,99846032.33873416,1.0,-0.2103413621564894
2024-03-07,-0.00508168,99338646.75311907,1.0,-0.2103413621564894
2024-03-08,0.00824832,100158023.69990577,1.0,-0.2103413621564894
2024-03-11,0.031601580000000004,103323175.49850024,1.0,-0.2103413621564894
2024-03-12,0.02164302,105559401.05227779,1.0,-0.2103413621564894
2024-03-13,-0.0034869799999999998,105191317.53199652,0.8,1.4110732759670253
2024-03-14,-0.00113116,105072329.32125703,0.8,1.4110732759670253
2024-03-15,0.014102920000000001,106554155.97588837,0.8,1.4110732759670253
2024-03-18,0.015280140000000001,108182318.39678179,0.8,1.4110732759670253
2024-03-19,-0.00436448,107710158.8317854,0.8,1.5082697297529375
2024-03-20,0.020547839999999998,109923369.94183552,0.8,1.5082697297529375
2024-03-21,-0.0021503000000000004,109687001.7194496,0.8,1.5082697297529375
2024-03-22,-0.024301640000000003,107021427.69098414,0.8,1.5082697297529375
2024-03-25,-0.02060978,104815739.61098705,1.0,0.161143909635309
2024-03-26,0.010426939999999999,105908647.03896645,1.0,0.161143909635309
2024-03-27,-0.04105588,101560474.33517228,1.2,-1.357726955172477
2024-03-28,0.010642340000000002,102641315.43360846,0.8,-1.357726955172477
2024-03-29,0.011396900000000001,103811108.24147375,0.8,-1.357726955172477
2024-04-01,0.020531900000000002,105942547.53477685,1.2,-1.261203138589925
2024-04-02,0.0019833999999999997,106152673.98355734,0.8,-1.261203138589925
