Date,Strategy_Return,rf_mon,Strategy_Excess_Return,mktrf,SMB,VMG,const
2024-09-01,0.33847881,0.0012,0.33727881000000004,0.2003,0.017,-0.0751,1.0
2024-10-01,0.10805884,0.0013,0.10675884000000001,-0.0025,0.0545,-0.1296,1.0
2024-11-01,0.0688156799999999,0.0012,0.0676156799999999,0.0104,0.0367,-0.0071,1.0
2024-12-01,-0.01985274,0.0013,-0.02115274,-0.0053,-0.0188,0.0745,1.0
2025-01-01,-0.02999587,0.0013,-0.03129587,-0.0273,0.0152,0.0359,1.0
2025-02-01,0.04712522,0.0011,0.046025220000000006,0.0333,0.0261,-0.0894,1.0
2025-03-01,-0.0051942299999999,0.0013,-0.0064942299999998995,-0.003,0.0187,0.0612,1.0
2025-04-01,-0.0733818099999999,0.0012,-0.0745818099999999,-0.0296,-0.002,-0.0047,1.0
2025-05-01,0.12378932,0.0013,0.12248932,0.0204,0.0444,0.0122,1.0
2025-06-01,0.06138231,0.0012,0.06018231,0.0391,0.0199,-0.0219,1.0
2025-07-01,0.03320875,0.0013,0.03190875,0.0444,-0.0013,0.0003,1.0
2025-08-01,0.06265152,0.0013,0.06135152,0.0981,-0.0481,-0.054,1.0
2025-09-01,-0.01452386,0.0012,-0.01572386,0.0166,-0.021,0.0037,1.0
2025-10-01,0.01481762,0.0013,0.013517620000000001,0.0076,0.0124,0.0222,1.0
2025-11-01,-0.0019844899999999,0.0012,-0.0031844899999999,-0.0218,0.0233,0.0021,1.0
2025-12-01,0.02892735,0.0013,0.027627350000000002,0.0271,-0.0093,0.0011,1.0
